EnglishName,NepaliName,District
Nawal Kishor Shah Sudi,नवल किशोर शाह सुडी,Saptari
Nagina Yadav,नागिना यादव,Mahottari
Dr. Narayan Khadka,डा. नारायण खड्का,Udayapur
Narayan Prakash Saud,नारायण प्रकाश साउद,Kanchanpur
Narayan Prasad Acharya,नारायण प्रसाद आचार्य,Palpa
Narayani Sharma,नारायणी शर्मा,Dang
Nirmala Koirala,निर्मला कोइराला,Parsa
Nisha Dangi,निशा डागी,Jhapa
Nainakala Thapa,नैनकला थापा,Chitwan
Padam Giri,पदम गिरी,Parbat
Pashupati Shumshera J.B.Rana  ,पशुपति शमशेर ज.ब.रा.,Sindhupalchowk
Pushpa Kamal Dahal (Prachanda),पुष्प कमल दाहाल (प्रचण्ड),Gorkha
Pusp Bahadur Shah,पुष्प वहादुर शाह,Achham
Purna Bahadur Khadka,पूर्ण वहादुर खड्का,Surkhet
Purna Bahadur Gharti,पुर्णबहादुर घर्ति,Rukum East
Purna Bahadur Tamang,पूर्ण बहादुर तामाङ्ग,Ramechhap
Prithvi Subba Gurung,पृथ्वी सुब्बा गुरुङ,Lamjung
Prakash Adhikari,प्रकाश अधिकारी ,Siraha
Prakash Jwala,प्रकाश ज्वाला,Salyan
Prakash Man Singh,प्रकाश मान सिंह,Kathmandu
Dr. Prakash Sharan Mahat,डा. प्रकाश शरण महत,Nuwakot
Pratima Gautam,प्रतिमा गौतम,Kathmandu
Pratikshya Tiwari,प्रतिक्षा तिवारी,Dhanusa
Pradip Paudel,प्रदिप पौडेल,Kathmandu
Pradip Yadav,प्रदीप यादव,Parsa
Prabhu Shah,प्रभु साह,Rautahat
Prabhu Hajara Dushadh,प्रभु हजरा,Parsa
Prem Bahadur Ale,प्रेम बहादुर आले,Doti
Prem Bahadur Maharjan,प्रेम बहादुर महर्जन,Lalitpur
Prem Suwal,प्रेम सुवाल,Bhaktapur
Badri Prasad Pandey,बद्री प्रसाद पाण्डे,Bajura
Barshaman Pun,बर्षमान पुन,Rolpa
Balaram Adhikari,बलराम अधिकारी,Kapilbastu
Basant Kumar Nemwang,वसन्त कुमार नेम्वाङ्ग,Panchthar
Basudev Ghimire,बासु देव घिमिरे,Rupandehi
Bindabasini Kansakar,विन्दबासिनी कांसकार,Makawanpur
Bina Kumari Thanait,विना कुमारी थनैत,Nawalparasi (East of Bardaghat Susta)
Bina Devi,बिना देवी,Rautahat
Binita Kathayat,बिनिता कठायत,Jumla
Bimala Subedi,बिमला सुवेदी,Nuwakot
Buddhiman Tamang,बुद्धिमान तामाङ,Dhading
Bhagbati Chaudhary,भगवति चौधरी,Sunsari
Bhanubhakta Joshi,भानु भक्त जोशी,Bajhang
Bhim Prasad Acharya,भीम प्रसाद आचार्य,Sunsari
Manju Khand,मन्जु खांण,Siraha
Manju Sharma Ansari,मन्जु शर्मा अन्सारी,Saptari
Man Bahadur Gurung ,मन बहादुर गुरुङ,Kaski
Manish Jha,मनिष झा,Dhanusa
Manorama Sherchan,मनोरमा शेरचन,Rupandehi
Mahantha Thakur,महन्थ ठाकुर,Mahottari
